Fecha de despacho Solicitada,cluster_id_dia,ventana,n_nodos,n_pedidos,volumen_cluster_m3,peso_cluster_kg,dist_prom_deposito_km,dist_max_deposito_km,distancia_estimada_ruta_km,tiempo_viaje_estimado_h,tiempo_servicio_estimado_h,tiempo_total_estimado_h,estado_tiempo_cluster,uso_vol_pct,uso_peso_pct
2026-12-14,3,PM,11,12,14.394300000000001,2091.755,3.894969224276876,10.423292869638,16.589938448553752,0.6635975379421502,1.8333333333333333,2.4969308712754836,OK,0.31987333333333334,0.2789006666666667
2026-12-14,4,AM,16,16,14.634915,2182.52,7.352726777750477,16.253267269649964,27.505453555500956,1.1002181422200383,2.6666666666666665,3.766884808886705,OK,0.32522033333333333,0.2910026666666667
2026-12-14,5,PM,13,13,15.710904,2334.578,3.310104456305232,3.571692109400136,17.020208912610464,0.6808083565044185,2.1666666666666665,2.847475023171085,OK,0.3491312,0.31127706666666666
2026-12-14,6,PM,14,16,15.944958999999999,2340.528,3.9208945754411544,4.364748051781916,19.04178915088231,0.7616715660352924,2.3333333333333335,3.095004899368626,OK,0.3543324222222222,0.31207039999999997
2026-12-14,7,PM,9,9,12.535274,1903.213,5.012050558347169,5.391488480207241,17.22410111669434,0.6889640446677735,1.5,2.1889640446677734,OK,0.2785616444444444,0.25376173333333335
2026-12-14,8,PM,8,8,15.782545,2031.583,5.914731696705228,6.570325245536216,18.229463393410455,0.7291785357364182,1.3333333333333333,2.0625118690697515,OK,0.35072322222222224,0.27087773333333337
2026-12-14,9,AM,10,10,15.247978,2013.0870000000002,7.800048565366984,8.945416540210815,23.600097130733968,0.9440038852293587,1.6666666666666667,2.6106705518960256,OK,0.3388439555555556,0.26841160000000003
2026-12-14,10,AM,16,17,12.174738,1631.999,12.65194310355009,15.294832662831563,38.10388620710018,1.5241554482840072,2.6666666666666665,4.190822114950674,OK,0.2705497333333333,0.21759986666666667
2026-12-15,1,AM,14,15,13.505118,1935.145,7.000573201718275,10.751071530227652,25.201146403436553,1.0080458561374621,2.3333333333333335,3.3413791894707954,OK,0.3001137333333333,0.2580193333333333
2026-12-15,2,AM,9,9,13.297889,1801.373,12.185957350614256,13.835012998361089,31.57191470122851,1.2628765880491404,1.5,2.7628765880491404,OK,0.2955086444444444,0.24018306666666667
2026-12-15,3,AM,11,12,15.128763,2268.418,6.380974235150584,14.318723105197344,21.561948470301168,0.8624779388120467,1.8333333333333333,2.69581127214538,OK,0.33619473333333333,0.30245573333333337
2026-12-15,4,PM,11,11,15.241216,2056.513,4.885611329356594,12.055225619848734,18.57122265871319,0.7428489063485276,1.8333333333333333,2.5761822396818608,OK,0.3386936888888889,0.2742017333333333
2026-12-15,5,AM,13,13,15.954323,2271.566,8.372694013085805,14.05219664203353,27.14538802617161,1.0858155210468643,2.1666666666666665,3.2524821877135306,OK,0.3545405111111111,0.30287546666666665
2026-12-15,6,AM,15,15,15.535805,2250.187,2.9965582148565812,3.2978552223887925,17.99311642971316,0.7197246571885265,2.5,3.2197246571885265,OK,0.3452401111111111,0.3000249333333333
2026-12-15,7,PM,13,13,14.132428,2083.532,3.624596850886851,3.7486408741037023,17.649193701773704,0.7059677480709482,2.1666666666666665,2.8726344147376146,OK,0.3140539555555556,0.2778042666666667
