fecha,ventana,cluster_id_dia,n_nodos,n_nodos_servidos,n_nodos_no_servidos,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas,km_totales,tiempo_solver_seg
2026-12-15,PM,7,13,13,0,14.132,2083.532,2,16.601,0.042
2026-12-15,PM,8,9,9,0,15.701,2225.495,2,17.595,0.037
2026-12-15,PM,9,10,10,0,12.857,1727.742,2,26.334,0.039
2026-12-16,AM,10,15,15,0,15.857,2480.267,2,49.696,0.041
2026-12-16,AM,11,15,15,0,15.553,2463.617,2,65.925,0.043
2026-12-16,AM,2,11,11,0,15.624,2088.624,2,50.317,0.038
2026-12-16,AM,3,13,13,0,14.773,1944.884,2,63.164,0.044
2026-12-16,AM,6,14,14,0,15.165,2139.733,2,60.924,0.045
2026-12-16,AM,8,20,20,0,13.535,2299.934,2,26.737,0.051
2026-12-16,PM,1,10,10,0,14.863,1984.129,2,36.578,0.038
2026-12-16,PM,12,2,2,0,1.991,221.004,1,34.574,0.037
2026-12-16,PM,4,14,14,0,15.249,2311.014,2,71.679,0.046
2026-12-16,PM,5,14,14,0,15.547,2339.14,2,36.11,0.042
2026-12-16,PM,7,14,14,0,15.577,2198.267,2,17.324,0.04
2026-12-16,PM,9,10,10,0,15.442,2084.954,2,32.677,0.04
2026-12-17,AM,1,16,16,0,15.961,2478.791,2,43.926,0.047
2026-12-17,AM,11,14,14,0,15.938,2380.392,2,44.031,0.043
2026-12-17,AM,12,14,14,0,12.554,2002.213,2,79.071,0.045
2026-12-17,AM,2,12,12,0,13.359,1864.079,2,57.734,0.04
2026-12-17,AM,4,14,14,0,15.973,2320.14,2,41.658,0.041
2026-12-17,AM,5,14,14,0,14.664,2211.795,2,55.872,0.043
2026-12-17,PM,10,13,13,0,14.98,2485.562,2,30.262,0.041
2026-12-17,PM,3,12,12,0,13.986,2284.658,2,76.11,0.048
2026-12-17,PM,6,15,15,0,12.849,1846.964,2,41.273,0.045
2026-12-17,PM,7,10,10,0,14.825,2072.612,2,15.877,0.04
2026-12-17,PM,8,15,15,0,15.006,2094.106,2,18.006,0.043
2026-12-17,PM,9,13,13,0,15.018,2180.979,2,21.472,0.043
2026-12-18,AM,12,12,12,0,15.55,2209.598,2,49.071,0.042
2026-12-18,AM,13,14,14,0,13.909,2136.003,2,65.18,0.049
2026-12-18,AM,14,7,7,0,9.773,1407.638,2,66.447,0.039
2026-12-18,AM,2,22,22,0,15.647,2561.859,2,95.742,0.068
2026-12-18,AM,3,20,20,0,15.132,2419.406,2,46.192,0.05
2026-12-18,AM,4,16,16,0,15.86,2206.43,2,35.812,0.043
2026-12-18,AM,5,11,11,0,15.702,2239.039,2,66.063,0.041
2026-12-18,PM,1,13,13,0,15.91,2287.627,2,40.09,0.044
2026-12-18,PM,10,11,11,0,15.936,2211.438,2,22.809,0.043
2026-12-18,PM,11,13,13,0,13.983,2047.111,2,32.025,0.042
2026-12-18,PM,6,9,9,0,11.101,1517.862,2,36.799,0.039
2026-12-18,PM,7,10,10,0,15.664,2333.526,2,15.784,0.04
2026-12-18,PM,8,6,6,0,14.826,2100.92,2,15.669,0.04
2026-12-18,PM,9,13,13,0,15.914,2278.678,2,16.333,0.042
2026-12-19,AM,10,7,7,0,15.611,2143.155,2,58.295,0.043
2026-12-19,AM,3,14,14,0,13.298,1934.041,2,83.345,0.046
2026-12-19,AM,4,17,17,0,15.726,2228.277,2,62.365,0.046
2026-12-19,AM,7,19,19,0,15.998,2452.852,2,24.506,0.048
2026-12-19,AM,8,17,17,0,14.698,2272.642,2,32.943,0.052
2026-12-19,AM,9,14,14,0,14.005,1943.173,2,58.637,0.042
2026-12-19,PM,1,9,9,0,13.345,1930.854,2,20.271,0.044
2026-12-19,PM,11,5,5,0,4.701,671.369,1,36.567,0.038
2026-12-19,PM,2,7,7,0,15.398,2080.781,2,39.004,0.037
2026-12-19,PM,5,15,15,0,15.589,2412.083,2,37.606,0.041
2026-12-19,PM,6,18,18,0,15.987,2417.343,2,17.371,0.046
2026-12-20,AM,1,14,14,0,15.191,2267.538,2,56.697,0.043
2026-12-20,AM,3,15,15,0,15.066,2164.887,2,56.868,0.043
2026-12-20,AM,4,15,15,0,15.781,2159.591,2,63.59,0.044
2026-12-20,AM,7,16,16,0,14.945,2403.689,2,38.082,0.052
2026-12-20,AM,8,16,16,0,15.349,2191.09,2,69.477,0.049
2026-12-20,PM,2,10,10,0,15.605,2251.781,2,73.041,0.038
2026-12-20,PM,5,11,11,0,13.181,1931.697,2,15.02,0.037
2026-12-20,PM,6,14,14,0,15.818,2233.151,2,18.444,0.039
2026-12-20,PM,9,1,1,0,2.282,320.542,1,32.948,0.034
2026-12-21,AM,10,17,17,0,15.666,2203.135,2,41.329,0.043
