fecha,ventana,cluster_id_dia,n_nodos_cluster,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas_cluster,km_totales_cluster,ruta_id,ruta,num_clientes,volumen_m3,peso_kg,km_ruta,tiempo_viaje_h,tiempo_servicio_h,descanso_h,tiempo_total_h,utilizacion_vol_pct,utilizacion_peso_pct
2026-12-21,PM,19,4,6.841,891.473,1,6.294,1,"[0, 1911, 1930, 1933, 1940, 0]",4,6.841,891.473,6.294,0.252,0.667,0.0,0.918,76.01,29.72
2026-12-21,PM,20,4,8.355,1097.019,1,8.648,1,"[0, 1944, 1861, 1868, 1872, 0]",4,8.355,1097.019,8.648,0.346,0.667,0.0,1.013,92.84,36.57
2026-12-21,PM,21,9,7.334,1133.471,1,24.646,1,"[0, 1961, 1963, 1977, 1984, 1993, 2005, 1878, 1887, 1061, 0]",9,7.334,1133.471,24.646,0.986,1.5,0.0,2.486,81.49,37.78
2026-12-21,PM,22,7,8.785,1200.938,1,11.054,1,"[0, 1310, 933, 871, 879, 910, 886, 887, 0]",7,8.785,1200.938,11.054,0.442,1.167,0.0,1.609,97.61,40.03
2026-12-21,PM,24,1,0.694,79.037,1,18.88,1,"[0, 1029, 0]",1,0.694,79.037,18.88,0.755,0.167,0.0,0.922,7.71,2.63
2026-12-21,PM,4,8,7.456,1134.447,1,29.02,1,"[0, 1415, 1424, 1431, 1449, 1453, 1463, 1466, 1177, 0]",8,7.456,1134.447,29.02,1.161,1.333,0.0,2.494,82.84,37.81
2026-12-21,PM,5,7,8.566,1302.48,1,32.249,1,"[0, 1469, 927, 204, 1509, 1341, 784, 792, 0]",7,8.566,1302.48,32.249,1.292,1.167,0.0,2.459,95.18,43.42
2026-12-22,AM,1,10,8.799,1275.071,1,30.397,1,"[0, 1402, 1139, 56, 319, 344, 73, 95, 473, 478, 1271, 0]",10,8.799,1275.071,30.397,1.22,1.667,0.0,2.886,97.76,42.5
2026-12-22,AM,10,8,8.742,1167.762,1,33.779,1,"[0, 2045, 1093, 566, 580, 127, 412, 385, 428, 0]",8,8.742,1167.762,33.779,1.351,1.333,0.0,2.684,97.13,38.93
2026-12-22,AM,11,12,8.691,1442.306,1,31.527,1,"[0, 1625, 1674, 1286, 2159, 1534, 1508, 695, 710, 1329, 553, 132, 1076, 0]",12,8.691,1442.306,31.527,1.261,2.0,0.0,3.261,96.57,48.08
2026-12-22,AM,12,9,8.585,1238.701,1,28.97,1,"[0, 1759, 1556, 1577, 1798, 306, 312, 162, 164, 192, 0]",9,8.585,1238.701,28.97,1.159,1.5,0.0,2.659,95.39,41.29
2026-12-22,AM,14,8,7.699,1091.86,1,25.295,1,"[0, 642, 2142, 1849, 1815, 849, 288, 1233, 1067, 0]",8,7.699,1091.86,25.295,1.012,1.333,0.0,2.345,85.55,36.4
2026-12-22,AM,2,11,8.18,1514.194,1,28.819,1,"[0, 1145, 1149, 341, 345, 353, 355, 360, 373, 451, 456, 462, 0]",11,8.18,1514.194,28.819,1.153,1.833,0.0,2.986,90.89,50.47
2026-12-22,AM,3,7,8.25,1266.072,1,32.416,1,"[0, 1426, 1456, 920, 944, 42, 1174, 1176, 0]",7,8.25,1266.072,32.416,1.328,1.167,0.0,2.495,91.67,42.2
2026-12-22,AM,4,8,7.531,1083.246,1,29.032,1,"[0, 521, 1334, 778, 796, 805, 1500, 760, 747, 0]",8,7.531,1083.246,29.032,1.161,1.333,0.0,2.495,83.68,36.11
2026-12-22,AM,8,5,8.268,1255.579,1,29.328,1,"[0, 2214, 989, 994, 999, 1013, 0]",5,8.268,1255.579,29.328,1.173,0.833,0.0,2.006,91.87,41.85
2026-12-22,PM,13,8,7.243,1086.304,1,17.705,1,"[0, 2135, 1703, 1728, 1748, 599, 617, 630, 270, 0]",8,7.243,1086.304,17.705,0.708,1.333,0.0,2.042,80.48,36.21
2026-12-22,PM,15,9,8.095,1098.657,1,8.776,1,"[0, 1914, 1915, 1919, 1980, 1868, 1876, 1885, 1898, 1829, 0]",9,8.095,1098.657,8.776,0.351,1.5,0.0,1.851,89.94,36.62
2026-12-22,PM,16,6,6.799,1006.956,1,21.587,1,"[0, 648, 2191, 957, 1371, 883, 1050, 0]",6,6.799,1006.956,21.587,0.863,1.0,0.0,1.863,75.54,33.57
2026-12-22,PM,17,5,7.184,982.956,1,19.621,1,"[0, 224, 227, 228, 1228, 1391, 0]",5,7.184,982.956,19.621,0.785,0.833,0.0,1.618,79.82,32.77
2026-12-22,PM,5,5,8.356,1155.666,1,17.321,1,"[0, 2119, 2131, 2132, 512, 1522, 0]",5,8.356,1155.666,17.321,0.693,0.833,0.0,1.526,92.84,38.52
2026-12-22,PM,6,3,6.097,811.576,1,14.827,1,"[0, 505, 150, 153, 0]",3,6.097,811.576,14.827,0.593,0.5,0.0,1.093,67.74,27.05
2026-12-22,PM,7,3,8.791,1160.662,1,1.182,1,"[0, 663, 672, 673, 0]",3,8.791,1160.662,1.182,0.047,0.5,0.0,0.547,97.67,38.69
2026-12-22,PM,9,5,4.179,589.736,1,27.464,1,"[0, 1651, 2040, 2221, 2222, 35, 0]",5,4.179,589.736,27.464,1.099,0.833,0.0,1.932,46.43,19.66
2026-12-23,AM,1,12,7.974,1215.486,1,28.203,1,"[0, 236, 64, 51, 48, 70, 100, 1197, 86, 1275, 437, 483, 330, 0]",12,7.974,1215.486,28.203,1.129,2.0,0.0,3.129,88.6,40.52
2026-12-23,AM,10,12,8.657,1293.6,1,28.148,1,"[0, 1671, 1675, 1642, 1964, 298, 299, 1077, 295, 166, 169, 176, 1054, 0]",12,8.657,1293.6,28.148,1.126,2.0,0.0,3.126,96.18,43.12
2026-12-23,AM,2,10,8.287,1255.116,1,29.258,1,"[0, 1450, 1465, 918, 341, 358, 367, 369, 374, 1414, 1173, 0]",10,8.287,1255.116,29.258,1.17,1.667,0.0,2.837,92.08,41.84
2026-12-23,AM,4,9,8.385,1367.427,1,34.789,1,"[0, 2104, 2111, 2115, 2129, 23, 2251, 2207, 810, 806, 0]",9,8.385,1367.427,34.789,1.406,1.5,0.0,2.906,93.17,45.58
2026-12-23,AM,5,8,8.5,1226.495,1,31.935,1,"[0, 666, 675, 1311, 114, 143, 2238, 1007, 38, 0]",8,8.5,1226.495,31.935,1.277,1.333,0.0,2.611,94.45,40.88
2026-12-23,AM,6,8,8.656,1396.646,1,29.393,1,"[0, 2089, 1762, 2069, 2027, 2220, 1113, 1117, 1124, 0]",8,8.656,1396.646,29.393,1.176,1.333,0.0,2.509,96.18,46.55
2026-12-23,AM,7,7,5.409,865.408,1,34.966,1,"[0, 1758, 22, 29, 422, 425, 431, 435, 0]",7,5.409,865.408,34.966,1.399,1.167,0.0,2.565,60.1,28.85
2026-12-23,AM,8,14,8.822,1354.575,1,28.564,1,"[0, 1516, 1530, 1541, 716, 725, 738, 1323, 1094, 572, 574, 1289, 557, 44, 396, 0]",14,8.822,1354.575,28.564,1.143,2.333,0.0,3.476,98.02,45.15
2026-12-23,PM,11,9,8.528,1312.134,1,15.035,1,"[0, 1589, 1572, 1578, 1768, 1725, 1744, 1108, 254, 593, 0]",9,8.528,1312.134,15.035,0.601,1.5,0.0,2.101,94.76,43.74
2026-12-23,PM,12,8,7.357,1135.297,1,14.681,1,"[0, 2136, 2148, 604, 627, 629, 632, 1301, 1306, 0]",8,7.357,1135.297,14.681,0.587,1.333,0.0,1.921,81.75,37.84
2026-12-23,PM,13,9,8.899,1346.236,1,21.836,1,"[0, 2180, 2173, 1942, 1904, 1962, 2105, 1863, 1823, 286, 0]",9,8.899,1346.236,21.836,0.874,1.5,0.0,2.374,98.88,44.87
2026-12-23,PM,14,8,8.843,1366.388,1,11.907,1,"[0, 1969, 2015, 1365, 1360, 883, 901, 876, 882, 0]",8,8.843,1366.388,11.907,0.476,1.333,0.0,1.81,98.25,45.55
2026-12-23,PM,15,5,3.889,670.388,1,19.113,1,"[0, 238, 249, 907, 856, 1031, 0]",5,3.889,670.388,19.113,0.765,0.833,0.0,1.598,43.21,22.35
2026-12-23,PM,3,6,8.522,1297.898,1,24.566,1,"[0, 1611, 779, 797, 801, 807, 200, 0]",6,8.522,1297.898,24.566,0.983,1.0,0.0,1.983,94.68,43.26
